user_id,menu_id,score
1,7,1
1,95,2.5
1,181,2
1,71,5
1,2,4.5
1,120,4.5
1,26,1
1,103,4
1,107,3
1,155,3
2,253,3.5
2,169,2
2,190,3.5
2,273,5
2,188,5
2,54,3
2,35,3.5
2,166,2.5
2,45,2
2,197,5
3,101,3
3,102,2
3,15,1.5
3,129,0.5
3,156,5
3,14,2
3,61,5
3,81,1.5
3,278,2.5
3,183,4
4,95,1.5
4,229,2
4,120,1.5
4,130,3
4,32,4
4,273,0.5
4,104,2
4,187,3
4,135,0.5
4,182,3
5,182,3
5,88,0.5
5,85,2.5
5,192,4
5,285,1.5
5,222,5
5,266,3
5,163,2.5
5,149,2.5
5,168,3
6,166,5
6,186,5
6,28,2
6,126,3
6,3,3
6,65,1.5
6,182,4
6,188,4
6,223,5
6,234,2.5
7,101,2.5
7,45,2.5
7,91,0.5
7,94,4
7,115,0.5
7,90,2.5
7,93,3.5
7,158,4
7,211,2.5
7,54,4
8,49,2.5
8,83,3
8,284,3.5
8,134,2.5
8,261,3
8,38,1
8,136,4.5
8,59,3.5
8,72,3.5
8,86,4.5
9,163,1.5
9,131,0.5
9,271,0.5
9,254,2
9,160,4
9,173,2.5
9,187,0.5
9,150,4.5
9,63,4.5
9,99,2
10,125,4
10,71,4.5
10,180,1
10,269,2
10,179,0.5
10,159,5
10,81,5
10,111,4
10,80,1.5
10,42,3
11,85,4
11,219,1
11,136,0.5
11,258,0.5
11,189,2.5
11,2,2.5
11,250,4.5
11,242,2
11,109,4.5
11,61,3
12,95,1.5
12,248,5
12,175,1.5
12,139,1.5
12,93,4.5
12,91,3
12,169,3
12,221,1.5
12,274,0.5
12,254,0.5
13,236,1.5
13,156,2.5
13,210,3.5
13,29,2
13,27,0.5
13,197,2.5
13,146,4.5
13,107,2
13,247,4
13,233,4
14,118,1
14,143,1
14,28,3.5
14,17,2.5
14,8,4
14,115,4.5
14,75,4
14,94,1.5
14,206,1
14,10,2.5
15,235,4.5
15,231,3.5
15,123,5
15,129,3
15,178,0.5
15,109,4
15,277,2.5
15,279,2.5
15,119,1.5
15,88,0.5
16,109,1
16,8,3
16,242,4
16,211,2
16,170,3.5
16,285,1.5
16,61,3.5
16,134,2
16,220,3.5
16,45,2.5
17,104,2
17,174,5
17,11,1.5
17,91,1
17,168,2.5
17,115,3.5
17,217,0.5
17,183,0.5
17,110,4
17,215,2.5
18,23,4
18,185,1
18,115,4
18,29,2.5
18,183,1
18,223,1.5
18,205,2
18,50,4.5
18,270,2
18,21,1
19,93,2
19,30,0.5
19,48,3
19,79,3
19,92,4
